S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Score
426,10,R,GT3,T,1,1,1,1,1,no,yes,no,no,yes,yes,no,4,1,2,6,,
427,10,R,GT3,T,3,3,2,1,0,no,yes,no,no,yes,yes,yes,5,4,5,4,,
428,11,R,GT3,T,2,3,2,2,0,no,no,no,no,yes,yes,no,4,5,5,0,,
429,10,R,LE3,T,2,1,2,1,0,no,no,no,no,yes,no,no,1,3,1,0,,
430,11,R,LE3,A,4,4,1,2,0,no,yes,no,no,yes,yes,no,5,3,2,5,,
431,11,U,GT3,A,1,2,1,3,0,yes,no,no,no,yes,yes,yes,4,4,5,0,,
432,12,R,GT3,T,3,2,1,2,1,no,no,no,no,yes,yes,no,4,5,5,0,,
433,12,R,GT3,T,1,1,1,1,1,no,yes,no,no,no,no,yes,5,4,5,0,,
434,10,R,GT3,T,4,4,2,1,0,no,no,no,no,yes,yes,yes,1,5,5,0,,
435,11,U,LE3,A,2,2,2,4,0,no,no,no,yes,no,no,no,1,2,1,4,,
436,10,R,LE3,T,1,1,2,2,0,no,yes,no,no,yes,yes,yes,5,4,4,0,,
437,10,R,LE3,T,1,1,2,1,1,no,yes,no,no,yes,yes,yes,4,4,2,4,,
438,11,R,GT3,T,0,2,2,1,0,no,yes,no,yes,yes,yes,no,3,2,2,0,,
439,12,R,GT3,T,2,3,2,1,0,no,yes,no,no,yes,yes,yes,5,5,3,2,,
440,10,R,GT3,T,3,3,2,1,0,no,no,no,no,no,yes,yes,4,1,4,0,,
441,11,U,GT3,T,1,1,2,2,0,no,yes,no,yes,yes,yes,no,5,4,3,0,,
442,12,U,GT3,T,1,1,1,2,0,no,no,yes,no,no,yes,yes,4,4,5,4,,
443,10,R,LE3,T,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,0,,
444,10,R,LE3,T,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,7,,
445,11,R,GT3,T,3,4,3,2,0,no,no,no,no,no,yes,no,3,4,5,4,,
446,10,R,GT3,T,1,1,4,2,0,no,yes,no,yes,yes,yes,no,5,4,4,8,,
447,10,U,LE3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,5,0,,
448,12,R,GT3,T,2,1,3,1,0,no,no,no,yes,yes,no,no,5,5,3,8,,
449,11,R,GT3,T,4,4,2,3,0,no,no,no,yes,yes,yes,yes,4,2,4,6,,
450,10,R,GT3,T,1,2,2,1,0,no,no,no,no,yes,yes,no,5,1,1,3,,
451,11,R,GT3,T,2,3,3,2,0,no,yes,no,no,yes,yes,yes,4,5,1,2,,
452,11,R,GT3,T,1,2,2,2,0,no,no,no,no,yes,yes,no,4,3,5,0,,
453,11,R,GT3,T,2,2,3,2,0,no,yes,no,no,yes,yes,yes,4,4,4,4,,
454,11,U,GT3,T,1,2,1,3,1,no,yes,no,no,yes,yes,no,1,3,4,0,,
455,11,U,GT3,T,1,2,1,3,1,no,yes,no,no,yes,yes,no,1,3,4,3,,
456,10,U,GT3,T,2,1,1,2,0,yes,yes,no,no,no,yes,yes,4,4,2,0,,
457,11,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,no,5,4,2,0,,
458,12,R,LE3,T,1,2,1,1,0,no,yes,no,yes,yes,yes,yes,5,5,3,4,,
459,11,R,GT3,T,1,1,4,4,0,no,yes,no,no,no,yes,yes,4,3,1,0,,
460,11,R,GT3,T,1,1,4,3,0,yes,yes,no,no,yes,yes,no,4,4,5,2,,
461,10,R,GT3,T,1,1,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,2,1,,
462,11,R,GT3,T,1,1,2,1,0,no,no,no,yes,yes,yes,yes,4,2,2,0,,
463,10,R,GT3,T,1,1,3,2,0,no,yes,no,no,yes,yes,no,4,2,2,0,,
464,10,R,LE3,T,2,2,1,3,0,yes,yes,no,no,yes,yes,no,4,4,5,2,,
465,11,R,GT3,T,1,1,2,1,0,no,no,no,yes,yes,yes,no,3,4,5,6,,
466,13,U,GT3,T,1,2,1,2,1,no,yes,no,yes,yes,yes,yes,3,4,5,9,,
467,10,U,GT3,T,3,1,2,1,0,no,yes,no,no,yes,yes,no,3,2,4,0,,
468,11,R,GT3,T,2,2,3,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,1,,
469,10,U,GT3,T,2,2,3,1,0,no,no,no,no,yes,yes,no,4,3,4,1,,
470,11,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,0,,
471,10,R,GT3,T,3,3,1,2,0,no,yes,no,no,yes,yes,yes,4,5,1,4,,
472,11,R,GT3,T,2,2,2,2,1,no,yes,no,yes,no,yes,no,4,4,5,2,,
473,11,R,LE3,T,2,2,3,1,0,no,yes,no,yes,yes,yes,no,4,3,4,0,,
474,11,U,LE3,T,2,1,2,1,0,no,yes,no,yes,yes,yes,yes,2,4,4,4,,
475,10,R,LE3,T,1,3,3,1,0,no,yes,no,yes,yes,yes,yes,4,2,3,2,,
476,10,U,GT3,T,2,2,2,3,0,no,yes,no,yes,yes,yes,no,5,3,4,0,,
477,11,R,LE3,T,2,1,1,1,0,no,yes,no,no,yes,yes,yes,5,4,5,2,,
478,10,U,GT3,T,3,3,2,1,0,no,yes,no,yes,no,yes,yes,4,3,3,11,,
479,11,R,GT3,T,1,1,2,2,3,yes,yes,no,no,yes,yes,no,3,4,1,0,,
480,12,U,GT3,T,2,2,1,1,0,no,yes,no,yes,yes,no,no,4,5,5,4,,
481,14,U,GT3,T,2,3,1,1,1,no,no,no,no,yes,no,yes,4,4,2,0,,
482,12,R,GT3,T,2,1,3,1,0,no,yes,no,yes,yes,no,no,5,5,3,2,,
483,10,R,LE3,T,1,1,2,1,0,no,yes,no,no,yes,no,no,5,2,4,0,,
484,11,R,GT3,T,2,2,3,2,0,no,yes,no,no,yes,no,yes,3,4,1,1,,
485,11,U,LE3,A,2,2,1,1,0,no,yes,no,no,yes,no,no,4,3,1,6,,
486,12,R,GT3,T,2,2,2,2,0,no,yes,no,no,yes,yes,yes,4,3,4,0,,
487,11,U,GT3,T,2,2,1,1,1,no,yes,yes,yes,no,yes,yes,4,4,3,1,,
488,13,R,LE3,A,3,2,2,3,2,no,yes,no,no,no,no,no,3,3,2,6,,
489,14,U,GT3,T,1,1,1,3,1,no,no,no,yes,yes,no,no,5,3,3,6,,
490,13,R,GT3,T,1,1,2,1,1,no,no,no,yes,yes,no,yes,4,4,4,0,,
491,13,R,GT3,T,1,1,2,1,1,no,no,no,no,no,no,yes,3,2,2,4,,
492,14,U,GT3,T,1,1,2,2,1,no,yes,no,no,yes,yes,yes,1,1,1,12,,
493,11,R,GT3,A,2,2,1,2,0,no,no,no,no,no,yes,no,3,3,3,2,,
494,12,U,GT3,T,0,1,2,1,0,no,no,no,yes,no,yes,no,2,4,5,5,,
495,11,R,LE3,T,1,2,1,2,0,no,no,no,yes,yes,no,yes,4,4,3,0,,
496,11,U,GT3,T,3,3,1,1,0,no,no,no,yes,yes,no,yes,4,5,4,0,,
497,11,R,LE3,T,1,1,1,1,0,no,yes,no,yes,yes,yes,yes,4,4,4,2,,
498,12,U,GT3,T,3,3,2,4,1,no,yes,yes,yes,yes,yes,no,5,4,5,0,,
499,11,U,GT3,T,2,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,1,0,,
500,11,U,GT3,T,2,2,1,1,0,no,yes,yes,yes,yes,yes,no,4,2,5,0,,
501,12,U,GT3,T,1,2,1,1,1,no,yes,no,yes,yes,no,yes,5,3,1,12,,
502,11,U,LE3,T,4,3,1,1,0,no,no,no,yes,yes,yes,yes,4,2,5,8,,
503,12,R,LE3,T,2,2,3,4,1,no,yes,no,no,yes,yes,no,1,3,3,2,,
504,11,U,GT3,T,1,1,1,4,0,yes,yes,no,yes,yes,yes,yes,2,2,5,0,,
505,14,U,LE3,T,2,2,1,3,0,no,no,no,no,yes,yes,yes,5,4,1,0,,
506,12,R,GT3,T,1,1,2,1,0,no,yes,no,yes,no,yes,yes,4,4,5,0,,
507,15,U,GT3,T,3,3,2,2,1,no,no,no,yes,yes,yes,yes,3,3,3,8,,
508,12,U,LE3,T,1,1,1,3,0,no,yes,no,no,yes,yes,no,4,3,3,0,,
509,12,R,GT3,T,2,2,3,1,1,no,yes,no,no,no,yes,yes,4,4,5,0,,
510,11,R,LE3,T,1,1,3,2,0,no,yes,no,no,yes,yes,no,5,3,1,0,,
511,12,R,GT3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,no,5,3,1,0,,
512,12,U,GT3,A,1,0,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,1,,
513,13,R,GT3,T,1,1,1,2,1,no,yes,no,no,yes,yes,yes,4,3,5,9,,
514,11,U,GT3,T,3,1,1,1,0,no,no,no,yes,yes,yes,yes,3,1,1,0,,
515,11,U,GT3,T,3,2,1,1,0,no,no,no,no,yes,yes,yes,3,1,3,2,,
516,13,U,LE3,T,1,1,2,2,0,yes,no,no,no,yes,yes,no,2,3,3,8,,
517,11,R,GT3,T,4,4,1,2,0,no,no,no,yes,no,yes,yes,4,3,2,0,,
518,11,R,LE3,T,1,2,2,1,0,no,no,no,yes,yes,yes,yes,5,4,2,0,,
519,13,U,GT3,A,2,4,1,2,1,no,yes,no,no,yes,yes,yes,2,3,1,8,,
520,11,R,GT3,T,2,1,2,2,0,no,no,no,yes,yes,yes,yes,5,2,2,0,,
521,11,U,LE3,T,1,1,3,2,0,no,yes,no,no,yes,yes,yes,4,3,5,6,,
522,11,R,GT3,T,2,3,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,2,0,,
523,11,U,GT3,T,4,4,1,2,0,no,yes,no,no,yes,yes,yes,4,3,3,4,,
524,13,U,LE3,T,4,4,1,4,0,no,yes,no,yes,yes,no,yes,5,5,5,2,,
525,11,R,LE3,T,3,4,3,2,0,no,yes,no,no,no,yes,no,4,2,2,2,,
526,12,U,LE3,T,4,4,1,3,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
527,12,R,GT3,T,4,1,1,1,0,no,no,no,no,yes,yes,yes,4,2,5,1,,
528,11,U,LE3,T,2,2,4,3,0,no,no,no,no,yes,yes,no,5,1,3,0,,
529,12,R,GT3,T,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,5,1,5,5,,
530,11,U,LE3,T,4,4,2,1,0,no,yes,no,no,yes,yes,no,5,1,5,1,,
531,12,U,GT3,T,3,3,1,1,0,no,yes,no,yes,yes,yes,yes,4,1,3,8,,
532,12,U,GT3,T,1,1,3,2,0,no,no,no,no,yes,yes,yes,5,1,1,0,,
533,11,U,GT3,T,2,1,2,2,0,no,no,no,no,no,yes,yes,4,2,5,2,,
534,11,U,LE3,T,2,1,1,2,0,no,no,no,no,yes,yes,yes,3,2,3,0,,
535,11,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,1,5,0,,
536,10,R,GT3,T,1,2,3,2,0,no,yes,no,yes,yes,yes,no,5,5,5,11,,
537,10,U,LE3,A,2,2,3,4,0,no,yes,no,yes,yes,yes,no,5,4,5,8,,
538,10,U,LE3,A,2,1,1,1,0,no,no,no,yes,yes,yes,yes,4,3,5,11,,
539,11,R,LE3,T,2,2,1,3,0,no,yes,no,no,no,yes,no,4,3,5,2,,
540,11,U,LE3,T,4,1,2,2,0,no,yes,no,yes,yes,yes,yes,1,2,1,8,,
541,12,U,GT3,T,3,2,2,1,0,no,no,no,no,yes,yes,no,4,3,1,5,,
542,12,R,GT3,T,2,2,2,2,0,yes,no,yes,no,yes,yes,no,5,1,5,0,,
543,11,U,GT3,T,4,4,2,3,0,no,yes,no,no,yes,yes,yes,5,3,5,1,,
544,12,R,GT3,T,4,4,3,1,3,no,no,no,yes,yes,yes,yes,3,3,5,2,,
545,12,R,LE3,T,1,3,2,1,0,no,no,no,yes,yes,yes,no,5,1,5,2,,
546,12,U,GT3,T,3,4,1,2,1,no,yes,no,yes,no,yes,yes,5,4,5,8,,
547,12,U,GT3,T,4,4,1,2,0,no,yes,no,no,yes,yes,yes,5,2,5,0,,
548,11,R,LE3,T,4,1,1,1,0,no,no,no,no,yes,yes,yes,4,1,2,0,,
549,12,U,GT3,A,1,1,1,2,0,no,no,no,yes,yes,yes,yes,4,5,3,2,,
550,12,R,GT3,T,4,2,2,2,0,yes,yes,no,no,no,yes,yes,4,3,5,0,,
551,11,U,LE3,A,2,2,2,2,0,no,yes,no,no,no,yes,yes,4,1,5,0,,
552,12,U,GT3,T,3,2,2,2,0,no,yes,yes,no,yes,yes,yes,4,1,1,0,,
553,14,U,GT3,T,1,1,1,2,2,no,yes,no,yes,yes,no,yes,4,4,4,2,,
554,12,U,LE3,A,1,0,1,1,0,no,no,no,no,yes,yes,no,4,1,5,4,,
555,12,R,GT3,T,1,1,2,1,0,no,yes,no,yes,yes,no,yes,3,5,4,3,,
556,11,R,GT3,T,1,2,1,3,0,yes,yes,no,no,no,yes,yes,4,3,3,5,,
557,11,R,LE3,T,1,2,1,1,0,no,no,no,no,yes,yes,no,4,4,5,4,,
558,12,R,GT3,T,3,1,2,2,3,no,yes,no,yes,no,yes,yes,5,4,5,2,,
559,12,R,GT3,T,2,2,2,1,0,no,no,no,yes,yes,no,no,5,5,5,0,,
560,13,R,GT3,T,1,0,3,1,1,yes,yes,no,no,yes,yes,no,4,3,4,0,,
561,12,R,GT3,T,1,1,2,1,0,no,yes,no,yes,no,yes,yes,4,5,2,0,,
562,13,U,LE3,T,1,1,2,2,0,no,yes,no,yes,yes,yes,no,4,3,5,6,,
563,11,R,LE3,T,2,2,1,2,0,no,no,no,yes,yes,yes,no,5,4,1,0,,
564,12,U,GT3,T,2,2,1,1,1,no,no,no,yes,yes,yes,no,1,2,5,0,,
565,11,R,GT3,T,3,2,2,1,0,no,no,no,no,yes,yes,yes,4,5,5,2,,
566,11,R,LE3,T,1,1,2,1,0,no,no,no,yes,yes,yes,yes,4,5,5,0,,
567,13,R,GT3,T,1,1,2,1,1,no,yes,no,no,yes,no,yes,5,3,5,2,,
568,13,R,GT3,T,3,2,1,1,1,no,no,no,no,yes,no,yes,2,3,5,0,,
569,14,U,GT3,T,3,2,2,1,3,no,no,no,yes,yes,yes,no,3,2,3,4,,
570,13,U,GT3,T,3,3,1,2,2,no,yes,no,yes,yes,no,yes,4,4,3,9,,
571,11,R,GT3,T,2,2,2,1,0,no,yes,no,yes,yes,yes,yes,5,4,4,6,,
572,14,U,GT3,T,2,1,2,1,3,no,no,no,yes,no,no,yes,4,4,5,4,,
573,11,U,GT3,A,3,2,2,2,2,no,yes,no,yes,yes,yes,no,2,5,1,8,,
574,12,U,GT3,T,1,1,1,1,0,no,yes,no,yes,yes,yes,no,4,3,5,9,,
575,15,R,GT3,T,1,1,2,1,1,no,yes,no,no,yes,no,yes,4,4,4,12,,
576,13,R,GT3,A,4,3,1,1,0,no,yes,no,no,yes,yes,yes,5,4,2,8,,
577,13,R,GT3,T,3,2,2,1,0,no,yes,no,no,no,yes,yes,2,5,5,8,,
578,14,R,GT3,T,1,1,3,2,1,no,no,no,no,yes,yes,yes,5,4,2,8,,
579,12,U,GT3,T,3,3,2,2,1,no,yes,no,no,yes,yes,yes,4,5,3,4,,
580,13,U,LE3,T,1,3,1,1,0,no,no,no,no,yes,no,yes,4,3,3,0,,
581,14,R,GT3,T,1,1,3,1,1,no,yes,no,no,yes,yes,yes,4,4,5,4,,
582,13,U,GT3,A,1,2,2,2,2,no,yes,no,no,yes,yes,no,4,3,5,2,,
583,14,U,LE3,A,1,1,1,1,0,no,yes,no,no,yes,no,no,1,4,5,0,,
584,13,R,GT3,T,2,2,2,1,1,no,no,no,no,yes,no,yes,5,5,3,0,,
585,12,R,GT3,T,0,0,2,1,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
586,12,R,LE3,A,3,1,2,3,0,no,yes,yes,no,yes,no,no,4,2,3,5,,
587,12,U,GT3,T,4,2,1,2,0,yes,yes,no,yes,yes,yes,yes,5,5,5,0,,
588,13,R,LE3,T,2,2,1,2,1,no,yes,no,yes,yes,yes,yes,2,3,4,3,,
589,12,U,GT3,T,4,1,1,1,0,no,yes,no,no,yes,yes,no,3,2,5,0,,
590,12,U,LE3,T,1,2,1,1,0,no,no,no,no,yes,yes,yes,5,5,3,0,,
591,13,U,GT3,T,1,1,3,2,2,no,no,no,yes,yes,yes,no,3,4,5,3,,
592,13,U,GT3,T,2,2,2,2,0,no,no,no,yes,no,yes,yes,4,3,1,2,,
593,12,U,GT3,T,3,3,2,1,0,no,yes,no,no,yes,yes,yes,4,4,4,0,,
594,13,U,LE3,A,1,2,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,0,,
595,13,U,GT3,T,4,4,2,2,0,no,no,no,yes,no,yes,yes,4,3,1,0,,
596,13,U,LE3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,yes,5,4,5,3,,
597,12,U,GT3,T,4,2,2,2,0,no,yes,no,no,yes,yes,yes,4,3,4,0,,
598,13,R,GT3,T,2,2,3,2,1,no,no,no,yes,yes,yes,no,4,3,4,0,,
599,13,U,LE3,T,1,2,2,1,0,no,yes,no,no,no,yes,no,4,1,1,8,,
600,13,R,GT3,T,4,4,3,1,0,no,yes,yes,yes,yes,yes,yes,2,5,1,5,,
601,12,R,GT3,T,1,1,3,1,0,no,no,no,no,no,no,no,4,2,4,4,,
602,13,U,GT3,T,2,2,2,2,0,no,yes,no,no,no,yes,yes,1,3,2,4,,
603,13,U,LE3,T,2,2,2,3,0,no,no,no,no,yes,yes,yes,5,4,3,0,,
604,13,R,LE3,A,4,2,1,2,0,no,no,no,yes,yes,yes,yes,5,3,5,0,,
605,13,U,GT3,T,1,1,3,2,1,no,no,no,no,yes,no,no,4,4,2,2,,
606,14,U,GT3,T,1,1,2,1,1,no,no,no,no,yes,no,no,5,5,2,0,,
607,12,U,GT3,T,4,2,2,4,0,no,no,no,no,yes,yes,yes,4,2,5,0,,
608,12,R,LE3,A,2,1,2,2,0,no,no,no,yes,yes,yes,yes,5,3,2,5,,
609,13,U,LE3,A,1,1,1,2,0,no,no,no,no,yes,yes,no,5,2,3,2,,
610,13,U,GT3,T,1,2,2,2,0,no,yes,no,no,yes,no,no,4,1,4,0,,
611,14,R,GT3,A,1,1,2,2,3,no,yes,no,yes,yes,no,no,3,5,1,0,,
612,13,R,GT3,T,2,2,2,3,0,no,no,no,no,yes,yes,yes,4,2,4,5,,
613,12,R,GT3,T,4,3,2,2,1,no,yes,yes,yes,no,yes,yes,4,5,2,4,,
614,13,U,GT3,T,3,3,1,2,0,no,yes,no,no,yes,yes,no,5,3,5,0,,
615,12,R,GT3,T,4,4,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,5,2,,
616,12,U,LE3,A,3,2,2,2,0,no,no,no,no,yes,yes,no,1,2,5,0,,
617,13,U,LE3,T,1,1,2,1,0,no,no,no,no,no,yes,yes,3,3,3,2,,
618,13,U,LE3,T,1,1,2,3,0,no,no,no,no,yes,yes,yes,5,3,4,0,,
619,13,R,LE3,A,1,2,3,2,0,no,no,no,no,yes,yes,no,4,3,5,0,,
620,13,U,GT3,T,3,3,2,2,0,no,yes,no,no,yes,yes,yes,4,3,3,6,,
621,12,U,LE3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,2,3,1,4,,
622,12,R,GT3,T,1,2,2,2,0,no,no,no,no,no,yes,no,3,2,3,0,,
623,13,R,GT3,T,1,3,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,0,,
624,13,U,LE3,T,4,4,2,3,0,no,no,no,no,yes,yes,yes,4,2,5,0,,
625,12,R,GT3,T,1,1,3,1,1,no,yes,no,no,yes,yes,yes,5,2,1,0,,
626,13,U,GT3,T,2,3,2,1,0,no,yes,no,no,yes,yes,yes,5,2,4,0,,
627,13,R,GT3,T,4,4,3,2,0,no,yes,no,no,no,yes,yes,3,2,5,0,,
628,13,R,LE3,T,1,2,3,1,0,no,yes,no,yes,yes,no,yes,4,3,3,3,,
629,12,U,GT3,T,2,2,1,3,0,no,no,no,yes,yes,yes,no,3,4,3,8,,
630,12,R,GT3,T,1,2,1,1,0,no,no,no,yes,yes,yes,yes,3,5,1,4,,
631,13,R,LE3,T,4,4,2,3,0,no,no,no,no,yes,yes,yes,5,4,1,0,,
632,13,R,GT3,T,1,1,4,3,0,no,no,no,no,yes,yes,yes,4,3,4,4,,
633,14,R,GT3,T,1,1,2,2,1,no,yes,no,no,yes,yes,yes,4,3,3,4,,
634,13,R,LE3,T,4,4,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,,
635,13,U,GT3,T,3,3,1,2,0,no,no,no,no,yes,yes,yes,4,1,1,1,,
636,12,R,GT3,T,3,1,1,2,0,no,yes,no,yes,no,yes,yes,4,5,1,10,,
637,13,U,GT3,T,4,4,1,2,0,no,no,no,yes,no,yes,yes,3,2,2,4,,
638,13,R,GT3,T,2,1,2,1,0,no,no,no,yes,no,yes,yes,4,4,5,0,,
639,12,U,GT3,T,2,3,2,2,0,no,no,no,yes,yes,yes,yes,4,4,3,4,,
640,14,R,GT3,T,1,1,2,1,1,no,no,no,no,yes,yes,no,4,3,5,0,,
641,13,R,GT3,T,4,2,2,1,1,no,no,yes,no,yes,yes,no,5,4,3,0,,
642,13,R,GT3,T,2,2,2,3,0,no,no,no,no,yes,yes,no,5,3,4,0,,
643,12,U,GT3,T,4,3,2,2,0,no,no,no,no,yes,yes,yes,5,5,1,0,,
644,13,R,GT3,T,4,4,3,1,0,no,yes,no,yes,yes,yes,yes,4,4,5,4,,
645,14,R,GT3,T,2,3,1,3,1,no,no,no,yes,no,yes,yes,5,4,5,4,,
646,13,U,LE3,T,3,1,1,2,0,no,yes,no,no,yes,yes,yes,4,3,1,4,,
647,13,U,GT3,T,1,1,2,2,0,no,no,no,yes,yes,yes,no,1,1,5,6,,
648,12,U,LE3,T,3,1,2,1,0,no,no,no,no,no,yes,yes,2,4,2,6,,
649,13,R,LE3,T,3,2,3,1,0,no,no,no,no,no,yes,yes,4,4,5,4,,
